1,1,1,1,1,1,1,1,1,58,1,1,87,1,68
47,29,50,1,1,44,443,157,124,38,1,155,87,407,327
553,912,702,772,6725,24745,99921,113513,119428,79711,40027,15322,4183,1080,327
221,29,549,728,9567,21864,58480,78383,76462,49956,22912,8933,2167,443,340
126,176,162,335,536,1285,599,371,143,116,471,496,446,513,368
15,1,1,14,631,1403,3861,5006,5333,2710,1359,403,217,283,354
1,1,1,14,631,2142,9113,11557,7664,8404,6435,2062,1078,389,327
1,1,10,1,1,88,95,200,316,487,527,341,457,443,368
1708,1678,2311,2680,9883,23489,70483,68828,45018,20590,6074,1085,261,1,1
1803,2119,2107,3088,29366,99410,370380,389930,329449,263312,126822,34646,7897,1541,368
411,294,264,262,252,325,767,1072,1160,877,748,434,435,974,354
79,88,30,58,1,73,47,42,287,116,1,217,326,212,395
1,1,10,1,63,44,23,1,19,1,194,232,228,212,395
443,323,834,1121,2147,5067,11595,15076,12384,8930,4465,1535,610,389,381
363,559,458,305,757,398,107,57,9,1,1,1,1,1,1
31,29,40,43,31,118,83,28,1736,233,443,465,446,637,449
1,1,1,1,1,1,1,14,28,1,55,248,239,1,340
1,1,1,1,1,1,1,1,1,38,1,1,1,301,13
5190,4592,5579,5390,7167,9469,16080,22170,21055,15287,6463,2760,860,407,327
1,1,1,1,1,1,1,1,1,136,1,1,1,1,68
1,1,1,1,1,1,1,1,1,1,1,759,119,1,1
4826,4946,5518,4749,4420,2806,1390,700,230,1,1,1,1,1,1
1028,1118,906,772,852,842,1031,1988,1141,1150,887,666,381,513,381
411,529,376,611,5083,20284,84225,93474,106506,64482,35727,12841,3050,673,327
1,1,1,1,1,1,1,1,1,1,1,1,65,265,95
1,1,1,1,1,1,1,1,1,1,1,15,54,1,1
1,1,1,1,1,1,1,1,134,1,249,1,174,1,122
712,706,631,524,252,236,83,28,1448,428,360,449,348,602,463
1,1,1,14,31,59,131,128,115,331,194,387,294,425,381
1,1,1,1,1,1,1,1,1,1,1,186,501,602,136
1,1,1,1,1,1,1,1,1,1,110,139,1,1,136
1,1,1,1,1,1,1,1,1,1,1,1,1,159,149
2025,1737,1903,2083,1799,1093,671,343,211,1,1,1,1,1,1
1,1,1,1,1,1,1,28,1,1,332,604,305,531,259
1,1,1,1,1,1,1,1,19,175,1,46,54,1,68
63,58,122,43,63,73,11,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,217,315,1,136
2769,2738,3451,3263,5399,7608,15240,20225,16681,12713,6047,2062,1241,691,381
1,1,1,1,1,44,119,357,76,97,305,170,326,443,422
1,1,1,1,1,1,1,1,1,1,1,1,87,1,177
1,1,1,1,1,1,1,1,1,136,1,1,1,1,231
63,176,458,743,8809,17196,41285,55812,53536,32894,13370,4621,1525,460,409
1,1,20,14,1,29,47,42,143,1,27,93,108,549,449
474,441,366,524,1863,4402,12866,18852,16700,12420,5686,1783,827,460,422
221,176,437,670,11367,22411,57940,76352,78736,49039,21858,7459,2429,779,422
1503,971,1333,1413,9820,39696,177647,196674,156964,152890,81830,22735,5653,1630,422
1,1,1,1,1,1,1,1,1,38,1,1,1,425,163
1091,1472,1303,1384,1484,1226,479,128,47,19,27,1,1,1,1
1,1,1,1,1,1,1,100,28,194,1,325,457,549,395
1,1,1,1,1,1,1,1,1,1,1,1,1,53,54
253,294,173,218,378,339,887,1315,2043,2125,1386,821,261,1,1
1,1,1,1,1,1,1,1,1,1,1,403,1,318,272
1,1,1,1,1,1,107,1,1,1,1,1,119,1,1
1,1,1,1,1,1,1,128,211,194,1,1,1,1,149
1,1,1,1,63,1,227,1,1,1,1,1,87,1,1
1455,1678,2189,2170,2936,1891,983,429,239,1,1,1,1,1,1
300,264,671,699,7988,14300,36524,47888,54102,27493,12898,4683,1437,496,409
3164,3091,3370,3482,4831,8731,11079,10498,6734,3880,776,1,1,1,1
1724,2119,2260,2491,18377,59226,230552,250928,270656,153319,80942,30924,8104,1949,395
253,235,223,349,1515,5717,19161,18737,15492,10587,4133,589,283,1,1
680,618,794,830,1547,3117,11247,10699,12211,7136,3855,1271,718,832,409
1,1,1,1,1,1,1,42,38,1,1,1,708,974,490
1,1,1,1,1,1,47,1,1,1,1,1,1,1,68
2025,1737,865,874,1199,989,383,257,239,1,1,1,1,1,1
1,29,40,160,3789,7933,22207,32869,38696,24003,12399,5040,1252,567,449
1,1,1,1,1,1,1,1,1,1,110,1,43,1,81
1,1,1,1,1,1,1,1,1,1,1,1,163,1,68
1,1,1,1,1,1,1,1,1,97,194,1,130,1,272
1234,824,600,1384,3820,5687,3453,2331,863,311,27,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,98,1,177
284,618,559,772,17935,68859,265266,290634,278828,197114,94895,30971,8180,1541,449
363,323,498,582,694,1654,2302,3976,3731,2612,1414,682,403,336,436
1,1,1,1,1,1,1,1,1,1,1,1,1,124,109
269,117,223,276,4989,9262,21883,27677,27204,15599,6074,1612,729,301,463
1,1,1,1,1,1,1,1,1,1,166,1,217,35,272
553,529,865,1486,3820,6662,8525,8968,4796,3061,832,263,261,177,449
1,29,1,14,126,546,3021,5049,6599,5381,3966,1736,1252,478,504
332,294,417,932,7104,18540,49930,69272,76798,48415,24216,7630,2004,443,449
1,1,1,29,315,1226,5515,6450,7702,6200,3633,883,501,407,449
443,706,407,641,10925,36579,152490,163647,188782,116408,62357,22952,7516,1577,504
1,1,1,43,1,29,1,1,1937,253,499,651,490,513,613
1,1,1,14,94,73,299,257,316,448,499,279,359,496,518
427,412,234,233,1420,1565,3597,4090,5851,5206,3439,2062,991,744,490
158,147,335,480,11525,41661,164805,180411,197214,113249,58113,23743,6427,2126,463
269,294,509,1063,7578,15896,38407,48575,40480,28897,13176,3830,1448,761,531
1,1,10,1,1,29,23,28,38,311,804,604,468,549,518
63,117,152,276,2052,5052,12578,15748,15520,11289,5464,1643,1122,761,586
1,1,1,1,1,1,1,1,28,1,1,1,196,1,1
490,235,213,247,284,177,71,28,9,1,1,1,1,1,1
1,1,1,1,1,1,1,171,95,311,471,186,381,478,477
1,1,1,1,1,1,263,400,1,1,1,1,1,1,340
1,1,1,1,1,14,1,257,1,1,1,1,1,1,68
158,206,173,233,473,1152,647,300,211,19,27,1,1,1,1
1,1,1,1,1,1,1,1,326,1,1,1,130,1,163
47,88,173,247,8367,33846,129647,148056,178422,123135,66268,24907,6819,1010,586
