Fitness,Establishment_Time,Error_Fitness,Error_Establishment_Time,Probability_Adaptive,Mean_Fitness,Kappa_Value,Mutant_Cell_Fraction,Inference_Time
0.0,0.0,0.0,0.0,0.0027249158710675376,3.1506272461492956e-05,2.5,0.00039309157503278585,163.02203
0.0,0.0,0.0,0.0,0.0001508498756560258,0.00011763701346085495,1.2517480771151732,0.0011622429283310207,162.48127
0.0,0.0,0.0,0.0,5.020361738399806e-05,0.00032809144514238766,1.2517480771151732,0.0029245068987979435,162.8815
0.17500000000000002,50.0,0.019120746427336018,2.46723764839694,0.9999971843997139,0.002453470039820821,0.003496154230346619,0.01937689882348213,163.78107
0.035,-98.0,0.004403799024988248,30.616888393849532,0.9596621947579339,0.003765875468151305,1.2517480771151732,0.03217326986378044,163.46995
0.0,0.0,0.0,0.0,4.3525184440352125e-05,0.009640087070902303,1.2517480771151732,0.07948374068405313,164.15082
0.0,0.0,0.0,0.0,0.4194344012451361,0.02364760090186945,1.2517480771151732,0.18723163132801074,164.16319
0.0,0.0,0.0,0.0,0.2743341976085552,0.05194463054125405,1.2517480771151732,0.3902198943666132,
0.24,58.0,0.02548913337966411,3.242780230469214,0.9960053544204662,0.09441266798127249,1.2517480771151732,0.6563448481599177,
0.0,0.0,0.0,0.0,0.052432986909310496,0.1395098664753368,1.2517480771151732,0.8632209511003265,
0.16,46.0,0.008407358800560562,2.802437239925003,0.9999888439951745,,,,
0.0,0.0,0.0,0.0,0.5166594506132635,,,,
0.0,0.0,0.0,0.0,5.8221020881255855e-05,,,,
0.0,0.0,0.0,0.0,0.7290915679220713,,,,
0.0,0.0,0.0,0.0,0.00030913850453245827,,,,
0.0,0.0,0.0,0.0,0.00014756974964716564,,,,
0.22,54.0,0.0359376326480444,5.064579368085746,0.9999995801986916,,,,
0.225,54.0,0.023272094022933516,3.1358435947779215,0.9999998890304063,,,,
0.0,0.0,0.0,0.0,3.186751077873594e-05,,,,
0.0,0.0,0.0,0.0,0.0350390834804608,,,,
0.0,0.0,0.0,0.0,0.18517168444122914,,,,
0.0,0.0,0.0,0.0,1.3598793153486234e-05,,,,
0.185,48.0,0.07198149931407576,0.045484333298928835,0.9999997963629379,,,,
0.185,48.0,0.0013107179524441378,0.10939297165107992,0.999999873691946,,,,
0.0,0.0,0.0,0.0,5.3714423108586376e-05,,,,
0.0,0.0,0.0,0.0,4.513463679279021e-05,,,,
0.185,46.0,0.016271004515690336,3.31849015178446,0.9999999999997202,,,,
0.2,50.0,0.03921893230116039,6.611615933425795,0.9999852391328863,,,,
0.19,48.0,0.005370116088316275,0.05375334556084475,0.9999995767668283,,,,
0.18,44.0,0.011474803503104753,2.741332155765045,1.0,,,,
0.0,0.0,0.0,0.0,0.00012462461792904064,,,,
0.17,44.0,0.012159566579728378,3.1204113014649764,0.9999999993609116,,,,
0.0,0.0,0.0,0.0,2.1274712872761242e-05,,,,
0.0,0.0,0.0,0.0,3.145207529145371e-05,,,,
0.0,0.0,0.0,0.0,0.46565472939953356,,,,
0.19,46.0,0.02028082501661328,3.9119213525957512,0.9999999999984329,,,,
0.04,-100.0,0.0010297502646969,6.825773044269637,0.9999999729965968,,,,
0.355,66.0,0.11665270020578009,0.11544127300186466,1.0,,,,
0.305,60.0,0.02950898914587448,2.434674057050747,1.0,,,,
0.23,50.0,0.018295518329239927,2.78305023586402,1.0,,,,
0.125,22.0,0.026352236747419742,11.067264116086793,1.0,,,,
0.085,-10.0,0.00730225741694685,7.8513215720584935,1.0,,,,
0.1,12.0,0.007288976404286118,5.223647218777505,1.0,,,,
0.225,46.0,0.01577525469809753,2.6735391090295404,1.0,,,,
0.17,32.0,0.018350078470854958,5.242880000002695,1.0,,,,
0.305,56.0,0.0028404863068874904,0.012259157211260741,1.0,,,,
0.065,-50.0,0.0023083755283318484,5.0412798320651895,1.0,,,,
0.20500000000000002,38.0,0.004161866586496707,0.942190140364876,1.0,,,,
0.07,-80.0,0.0001261240902755289,0.32313060231002627,1.0,,,,
0.195,32.0,0.006577363999675862,1.6613251317124502,1.0,,,,
0.3,50.0,0.006484831549720645,0.7811239745101528,1.0,,,,
0.20500000000000002,32.0,0.001881642318548199,0.48798206216893825,1.0,,,,
0.135,0.0,0.00022556476918986128,0.035153492405544336,1.0,,,,
0.22,28.0,0.0009703833375065766,0.25161605805906373,1.0,,,,
0.0,0.0,0.0,0.0,1.0679379278303421e-05,,,,
0.17500000000000002,10.0,0.0013373064827720143,0.5424127286151168,1.0,,,,
0.07,-100.0,9.079891939174032e-05,0.27526410330727147,1.0,,,,
0.31,36.0,0.0005476752873295646,0.08479403585648142,1.0,,,,
0.21,4.0,7.125064102895532e-05,0.02765555231413016,1.0,,,,
0.125,-54.0,0.0002138879690678132,0.22314969469808665,1.0,,,,
0.0,0.0,0.0,0.0,1.1117401547974522e-05,,,,
0.0,0.0,0.0,0.0,0.00011486767205264672,,,,
0.0,0.0,0.0,0.0,0.044583341457707745,,,,
0.0,0.0,0.0,0.0,0.004747493127161153,,,,
0.0,0.0,0.0,0.0,1.566891402213999e-05,,,,
0.0,0.0,0.0,0.0,1.4926326566059228e-05,,,,
0.0,0.0,0.0,0.0,8.57150579639448e-05,,,,
