sample,ROS,FOS,Lane,multiple samples
M05_10_day_r3_T3,ROS11,FOS2,1,x
M05_10_day_r3_T3,ROS8,FOS5,2,x
M05_10_day_r3_T4,ROS12,FOS2,1,x
M05_10_day_r3_T4,ROS9,FOS5,2,x
M05_10_day_r3_T5,ROS13,FOS2,1,x
M05_10_day_r3_T5,ROS10,FOS5,2,x
M05_2_day_r2_T5,ROS13,FOS8,1,x
M05_2_day_r2_T5,ROS4,FOS4,2,x
M05_4_day_r1_T4,ROS11,FOS9,1,x
M05_4_day_r1_T4,ROS7,FOS4,2,x
M05_4_day_r2_T2,ROS1,FOS10,1,x
M05_4_day_r2_T2,ROS8,FOS4,2,x
M05_4_day_r3_T3,ROS8,FOS10,1,x
M05_4_day_r3_T3,ROS9,FOS4,2,x
M05_4_day_r3_T4,ROS9,FOS10,1,x
M05_4_day_r3_T4,ROS10,FOS4,2,x
M05_6_day_r1_T3,ROS13,FOS10,1,x
M05_6_day_r1_T3,ROS11,FOS4,2,x
M05_8_day_r2_T4,ROS3,FOS1,1,x
M05_8_day_r2_T4,ROS3,FOS5,2,x
M05_8_day_r2_T5,ROS4,FOS1,1,x
M05_8_day_r2_T5,ROS4,FOS5,2,x
M05_8_day_r3_T4,ROS9,FOS1,1,x
M05_8_day_r3_T4,ROS7,FOS5,2,x
M3_3_day_r3_T2,ROS9,FOS6,1,x
M3_3_day_r3_T2,ROS2,FOS3,2,x
M3_3_day_r3_T3,ROS10,FOS6,1,x
M3_3_day_r3_T3,ROS3,FOS3,2,x
M3_5_day_r1_T3,ROS2,FOS7,1,x
M3_5_day_r1_T3,ROS4,FOS3,2,x
M3_5_day_r1_T4,ROS3,FOS7,1,x
M3_5_day_r1_T4,ROS7,FOS3,2,x
M3_5_day_r1_T5,ROS4,FOS7,1,x
M3_5_day_r1_T5,ROS8,FOS3,2,x
M3_5_day_r2_T2,ROS7,FOS7,1,x
M3_5_day_r2_T2,ROS9,FOS3,2,x
M3_5_day_r2_T3,ROS8,FOS7,1,x
M3_5_day_r2_T3,ROS10,FOS3,2,x
M3_5_day_r2_T4,ROS9,FOS7,1,x
M3_5_day_r2_T4,ROS11,FOS3,2,x
M3_5_day_r2_T5,ROS10,FOS7,1,x
M3_5_day_r2_T5,ROS12,FOS3,2,x
M3_5_day_r3_T1,ROS11,FOS7,1,x
M3_5_day_r3_T1,ROS13,FOS3,2,x
M3_5_day_r3_T2,ROS12,FOS7,1,x
M3_5_day_r3_T2,ROS1,FOS4,2,x
M3_5_day_r3_T3,ROS13,FOS7,1,x
M3_5_day_r3_T3,ROS2,FOS4,2,x
M3_5_day_r3_T4,ROS1,FOS8,1,x
M3_5_day_r3_T4,ROS3,FOS4,2,x
M05_10_day_r1_T1,ROS11,FOS1,1,
M05_10_day_r1_T2,ROS12,FOS1,1,
M05_10_day_r1_T3,ROS13,FOS1,1,
M05_10_day_r1_T4,ROS1,FOS2,1,
M05_10_day_r1_T5,ROS2,FOS2,1,
M05_10_day_r2_T1,ROS3,FOS2,1,
M05_10_day_r2_T2,ROS4,FOS2,1,
M05_10_day_r2_T3,ROS10,FOS2,2,
M05_10_day_r2_T4,ROS7,FOS2,1,
M05_10_day_r2_T5,ROS8,FOS2,1,
M05_10_day_r3_T1,ROS10,FOS2,1,
M05_10_day_r3_T2,ROS9,FOS2,1,
M05_2_day_r1_T1,ROS3,FOS8,1,
M05_2_day_r1_T2,ROS4,FOS8,1,
M05_2_day_r1_T3,ROS6,FOS8,1,
M05_2_day_r1_T4,ROS7,FOS8,1,
M05_2_day_r1_T5,ROS8,FOS8,1,
M05_2_day_r2_T1,ROS9,FOS8,1,
M05_2_day_r2_T2,ROS10,FOS8,1,
M05_2_day_r2_T3,ROS11,FOS8,1,
M05_2_day_r2_T4,ROS12,FOS8,1,
M05_2_day_r3_T1,ROS1,FOS9,1,
M05_2_day_r3_T2,ROS2,FOS9,1,
M05_2_day_r3_T3,ROS3,FOS9,1,
M05_2_day_r3_T4,ROS4,FOS9,1,
M05_2_day_r3_T5,ROS6,FOS9,1,
M05_4_day_r1_T1,ROS8,FOS9,1,
M05_4_day_r1_T2,ROS9,FOS9,1,
M05_4_day_r1_T3,ROS10,FOS9,1,
M05_4_day_r1_T5,ROS12,FOS9,1,
M05_4_day_r2_T1,ROS13,FOS9,1,
M05_4_day_r2_T3,ROS2,FOS10,1,
M05_4_day_r2_T4,ROS3,FOS10,1,
M05_4_day_r2_T5,ROS4,FOS10,1,
M05_4_day_r3_T1,ROS6,FOS10,1,
M05_4_day_r3_T2,ROS7,FOS10,1,
M05_4_day_r3_T5,ROS10,FOS10,1,
M05_6_day_r1_T1,ROS11,FOS10,1,
M05_6_day_r1_T2,ROS12,FOS10,1,
M05_6_day_r1_T4,ROS1,FOS1,2,
M05_6_day_r1_T5,ROS2,FOS1,2,
M05_6_day_r2_T1,ROS3,FOS1,2,
M05_6_day_r2_T2,ROS4,FOS1,2,
M05_6_day_r2_T3,ROS7,FOS1,2,
M05_6_day_r2_T4,ROS8,FOS1,2,
M05_6_day_r2_T5,ROS9,FOS1,2,x
M05_6_day_r2_T5,ROS12,FOS4,2,x
M05_6_day_r3_T1,ROS10,FOS1,2,
M05_6_day_r3_T2,ROS12,FOS1,2,x
M05_6_day_r3_T2,ROS13,FOS4,2,x
M05_6_day_r3_T3,ROS11,FOS1,2,x
M05_6_day_r3_T3,ROS1,FOS5,2,x
M05_6_day_r3_T4,ROS2,FOS5,2,x
M05_6_day_r3_T4,ROS13,FOS1,2,x
M05_6_day_r3_T5,ROS1,FOS2,2,
M05_8_day_r1_T1,ROS2,FOS2,2,
M05_8_day_r1_T2,ROS3,FOS2,2,
M05_8_day_r1_T3,ROS4,FOS2,2,
M05_8_day_r1_T4,ROS7,FOS2,2,
M05_8_day_r1_T5,ROS8,FOS2,2,
M05_8_day_r2_T1,ROS9,FOS2,2,
M05_8_day_r2_T2,ROS1,FOS1,1,
M05_8_day_r2_T3,ROS2,FOS1,1,
M05_8_day_r3_T1,ROS6,FOS1,1,
M05_8_day_r3_T2,ROS7,FOS1,1,
M05_8_day_r3_T3,ROS8,FOS1,1,
M05_8_day_r3_T5,ROS10,FOS1,1,
M3_1_day_r1_T1,ROS2,FOS3,1,
M3_1_day_r1_T2,ROS3,FOS3,1,
M3_1_day_r1_T3,ROS4,FOS3,1,
M3_1_day_r1_T4,ROS6,FOS3,1,
M3_1_day_r1_T5,ROS7,FOS3,1,
M3_1_day_r2_T1,ROS8,FOS3,1,
M3_1_day_r2_T2,ROS9,FOS3,1,
M3_1_day_r2_T3,ROS10,FOS3,1,
M3_1_day_r2_T4,ROS1,FOS3,2,
M3_1_day_r2_T5,ROS12,FOS3,1,
M3_1_day_r3_T1,ROS13,FOS3,1,
M3_1_day_r3_T2,ROS1,FOS4,1,
M3_1_day_r3_T3,ROS2,FOS4,1,
M3_1_day_r3_T4,ROS3,FOS4,1,
M3_1_day_r3_T5,ROS4,FOS4,1,
M3_2_day_r1_T1,ROS6,FOS4,1,
M3_2_day_r1_T2,ROS7,FOS4,1,
M3_2_day_r1_T3,ROS8,FOS4,1,
M3_2_day_r1_T4,ROS9,FOS4,1,
M3_2_day_r1_T5,ROS10,FOS4,1,
M3_2_day_r2_T1,ROS11,FOS4,1,
M3_2_day_r2_T2,ROS12,FOS4,1,
M3_2_day_r2_T3,ROS13,FOS4,1,
M3_2_day_r2_T4,ROS1,FOS5,1,
M3_2_day_r2_T5,ROS2,FOS5,1,
M3_2_day_r3_T1,ROS3,FOS5,1,
M3_2_day_r3_T2,ROS4,FOS5,1,
M3_2_day_r3_T3,ROS6,FOS5,1,
M3_2_day_r3_T4,ROS7,FOS5,1,
M3_2_day_r3_T5,ROS8,FOS5,1,
M3_3_day_r1_T1,ROS10,FOS5,1,
M3_3_day_r1_T2,ROS11,FOS5,1,
M3_3_day_r1_T3,ROS12,FOS5,1,
M3_3_day_r1_T4,ROS13,FOS5,1,
M3_3_day_r1_T5,ROS1,FOS6,1,
M3_3_day_r2_T1,ROS2,FOS6,1,
M3_3_day_r2_T2,ROS3,FOS6,1,
M3_3_day_r2_T3,ROS4,FOS6,1,
M3_3_day_r2_T4,ROS6,FOS6,1,
M3_3_day_r2_T5,ROS7,FOS6,1,
M3_3_day_r3_T1,ROS8,FOS6,1,
M3_3_day_r3_T4,ROS11,FOS6,1,
M3_3_day_r3_T5,ROS12,FOS6,1,
M3_5_day_r1_T1,ROS13,FOS6,1,
M3_5_day_r1_T2,ROS1,FOS7,1,
M3_5_day_r2_T1,ROS6,FOS7,1,
M3_5_day_r3_T5,ROS2,FOS8,1,
