date,time,evolution condition,replicate #,OD600(1:10 dil),coulter counter,mean size,mode,median size,colonies on 1st YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd YPD plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),cell/mL from plating,colonies on 1st URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),colonies on 2nd URA- plate (100uL of 10^-5 dilution or 100ul of 10^-4/10),URA+ cells/mL,% URA+,transfer #,timepoint,volume transfered (mL),total URA- cells transfered,number of diploids,total colonies screened,% diploid,notes,notes,notes,wells with diploids,wells to exclude because of poor screen,wells with haploids,wells with possible haploids,generations,population
8/3/21,,10 day,"1,2,3",0.017,8.52E+06,,,,3.04,2.65,2845000,2.4,2.43,2415000,0.848857645,0,-1,100,241500000,,,#DIV/0!,frozen aliquot grown in 5x delft w/ 2 gluc.,pool1,inoculated with 400ul aliquot,,,,,-8,10 day44199
8/4/21,,10 day,"1,2,3",,2.21E+08,,,,,,0,,,0,#DIV/0!,1,0,0.6,0,,,#DIV/0!,0.5mL inoculated into 3 cultures w/ M05 media,,,,,,,0,
8/14/21,11:00 AM,10 day,1,0.624,3.68E+08,,,,30,29,29500000,29,29,29000000,0.983050848,2,1,0.6,17400000,,,#DIV/0!,,,,,,,,8,
8/14/21,11:00 AM,10 day,2,0.647,2.88E+08,,,,275,323,299000000,301,331,316000000,1.056856187,2,1,0.6,189600000,,,#DIV/0!,,,,,,,,8,
8/14/21,11:00 AM,10 day,3,0.631,2.88E+08,,,,446,405,425500000,425,424,424500000,0.997649824,2,1,0.6,254700000,,,#DIV/0!,,,,,,,,8,
8/24/21,11:10 AM,10 day,1,0.057,4.17E+07,,,,12,16,14000000,10,10,10000000,0.714285714,3,2,0.5,5000000,,,#DIV/0!,low density,,,,,,,16,
8/24/21,11:10 AM,10 day,2,0.32,1.32E+08,,,,13,28,20500000,22,24,23000000,1.12195122,3,2,0.5,11500000,,,#DIV/0!,culture was yellow in color,,,,,,,16,
8/24/21,11:10 AM,10 day,3,0.309,1.19E+08,,,,96,107,101500000,104,127,115500000,1.137931034,3,2,0.5,57750000,,,#DIV/0!,culture was yellow in color,,,,,,,16,
8/31/21,3:45 PM,8 day ,"1,2,3",0.016,1.26E+07,,,,6.6,4.4,5500000,6.7,4.6,5650000,1.027272727,0,-1,100,565000000,,,#DIV/0!,frozen aliquot grown in 5x delft w/ 2 gluc.,pool3,inoculated with 400ul aliquot,,,,,-8,
9/1/21,11:30 AM,8 day ,"1,2,3",0.499,1.82E+08,,,,191,193,192000000,198,203,200500000,1.044270833,1,0,0.7,140350000,,,#DIV/0!,3 replicates established,pool3,,,,,,0,
9/2/21,3:15 PM,6 day,"1,2,3",0.014,1.44E+07,,,,4.9,4.9,4900000,4.2,5,4600000,0.93877551,0,-1,100,460000000,,,#DIV/0!,a pool4 400ul aliquot was added to 100mL of 5xdelft w/ 2%glucose,looked good under microscope,,,,,,-8,
9/3/21,1:15 PM,6 day,"1,2,3",0.533,3.09E+08,,,,181,180,180500000,172,219,195500000,1.083102493,1,0,0.7,136850000,,,#DIV/0!,0.7 mL inoculated into 3 M05 cultures,grew on hygromycin,,,,,,0,
9/3/21,2:00 PM,10 day,1,0.514,2.19E+08,,,,21,24,22500000,17,24,20500000,0.911111111,4,3,1,20500000,,,#DIV/0!,"some clumbing, some clusters look like grapes, but looks good",grew on hygromycin,,,,,,24,
9/3/21,2:00 PM,10 day,2,0.512,1.92E+08,,,,37,50,43500000,40,41,40500000,0.931034483,4,3,1,40500000,,,#DIV/0!,looks good,grew on hygromycin,,,,,,24,
9/3/21,2:00 PM,10 day,3,0.618,2.90E+08,,,,85,95,90000000,78,109,93500000,1.038888889,4,3,0.8,74800000,,,#DIV/0!,looks good,grew on hygromycin,,,,,,24,
9/9/21,1:00 PM,6 day,"1,2",0.687,2.75E+08,,,,81,92,86500000,94,101,97500000,1.12716763,2,1,0.8,78000000,,,#DIV/0!,looks good,replicate 2 was used to restablish replicate 1,,,,,,8,
9/9/21,1:00 PM,6 day,3,0.676,3.19E+08,,,,145,152,148500000,151,176,163500000,1.101010101,2,1,0.8,130800000,,,#DIV/0!,looks good,,,,,,,8,
9/9/21,2:00 PM,8 day,1,0.659,2.97E+08,,,,69,73,71000000,80,82,81000000,1.14084507,2,1,0.8,64800000,,,#DIV/0!,looks good,,,,,,,8,
9/9/21,2:00 PM,8 day,2,0.653,2.88E+08,,,,44,58,51000000,59,63,61000000,1.196078431,2,1,0.8,48800000,,,#DIV/0!,looks good,,,,,,,8,
9/9/21,2:00 PM,8 day,3,0.66,3.09E+08,,,,74,51,62500000,79,77,78000000,1.248,2,1,0.8,62400000,,,#DIV/0!,looks good,,,,,,,8,
9/13/21,3:00 PM,10 day,1,0.688,2.92E+08,,,,94,100,97000000,123,124,123500000,1.273195876,5,4,0.8,98800000,,,#DIV/0!,"some clumbing, some clusters look like grapes, but looks good",,,,,,,32,
9/13/21,3:00 PM,10 day,2,0.563,1.93E+08,,,,41,37,39000000,36,38,37000000,0.948717949,5,4,0.8,29600000,,,#DIV/0!,some heterogeneity but looks good,,,,,,,32,
9/13/21,3:00 PM,10 day,3,0.682,2.79E+08,,,,82,80,81000000,84,72,78000000,0.962962963,5,4,0.8,62400000,,,#DIV/0!,some heterogeneity but looks good,,,,,,,32,
9/15/21,1:00 PM,6 day,1,,,,,,,,0,,,0,#DIV/0!,3,2,,0,,,#DIV/0!,mold contamination,throw away culture and restarted from new pool,,,,,,16,
9/15/21,1:00 PM,6 day,2,,,,,,,,0,,,0,#DIV/0!,3,2,,0,,,#DIV/0!,mold contamination,throw away culture and restarted from new pool,,,,,,16,
9/15/21,1:00 PM,6 day,3,,,,,,,,0,,,0,#DIV/0!,3,2,,0,,,#DIV/0!,mold contamination,throw away culture and restarted from new pool,,,,,,16,
9/17/21,2:00 PM,8 day,1,0.607,2.23E+08,,,,60,58,59000000,81,71,76000000,1.288135593,3,2,0.7,53200000,,,#DIV/0!,looks good under microscope,,,,,,,16,
9/17/21,2:00 PM,8 day,2,0.622,2.72E+08,,,,44,39,41500000,53,59,56000000,1.34939759,3,2,0.7,39200000,,,#DIV/0!,looks good under microscope,,,,,,,16,
9/17/21,2:00 PM,8 day,3,0.612,2.52E+08,,,,58,65,61500000,61,72,66500000,1.081300813,3,2,0.7,46550000,,,#DIV/0!,looks good under microscope,,,,,,,16,
9/23/21,1:30 PM,10 day,1,,,,,,,,0,,,0,#DIV/0!,,,,0,,,#DIV/0!,mold contamination,threw away culture and restarted from previous timepoint,,,,,,0,
9/23/21,1:30 PM,10 day,2,,,,,,,,0,,,0,#DIV/0!,,,,0,,,#DIV/0!,mold contamination,threw away culture and restarted from previous timepoint,,,,,,0,
9/23/21,1:30 PM,10 day,3,,,,,,,,0,,,0,#DIV/0!,,,,0,,,#DIV/0!,mold contamination,threw away culture and restarted from previous timepoint,,,,,,0,
9/23/21,2:00 PM,10 day,1,0.011,6.57E+06,,,,0.2,0.6,400000,0,0.5,250000,0.625,5,4,,0,3,13,23.07692308,restarted culture from T4 frozen aliquots,,,,,,,32,
9/23/21,2:00 PM,10 day,2,0.015,7.05E+06,,,,0.5,0.5,500000,0.6,0.1,350000,0.7,5,4,,0,4,17,23.52941176,restarted culture from T4 frozen aliquots,,,,,,,32,
9/23/21,2:00 PM,10 day,3,0.017,8.43E+06,,,,1.3,1,1150000,1.7,1.2,1450000,1.260869565,5,4,,0,4,52,7.692307692,restarted culture from T4 frozen aliquots,,,,,,,32,
9/24/21,1:45 PM,6 day,"1,2,3",0.012,5.93E+06,,,,1,1.1,1050000,3.1,2.9,3000000,2.857142857,0,-1,100,300000000,0,80,0,started 6 day evolutions from pool5 400ul aliquot,looked good under microscope,,,,,,-8,
9/25/21,3:00 PM,6 day,"1,2,3",0.522,1.86E+08,,,,179,189,184000000,213,184,198500000,1.078804348,1,0,0.7,138950000,2,95,2.105263158,started 3 replicate cultures in M05,,,,,,,0,
9/25/21,3:30 PM,8 day,1,0.579,1.72E+08,,,,86,85,85500000,126,139,132500000,1.549707602,4,3,0.8,106000000,3,95,3.157894737,looks good under microscope,,,,,,,24,
9/25/21,3:30 PM,8 day,2,0.636,2.36E+08,,,,53,60,56500000,68,67,67500000,1.194690265,4,3,0.8,54000000,15,95,15.78947368,looks good under microscope,,,,,,,24,
9/25/21,3:30 PM,8 day,3,0.631,2.05E+08,,,,49,47,48000000,68,47,57500000,1.197916667,4,3,0.8,46000000,31,95,32.63157895,looks good under microscope,,,,,,,24,
10/1/21,1:30 PM,6 day,1,0.684,3.21E+08,,,,81,113,97000000,103,105,104000000,1.072164948,2,1,0.8,83200000,2,92,2.173913043,looks good under microscope,,,"D5, H6",,,,8,
10/1/21,1:30 PM,6 day,2,0.712,3.25E+08,,,,126,106,116000000,111,88,99500000,0.857758621,2,1,0.8,79600000,1,92,1.086956522,looks good under microscope,,,E5,,,,8,
10/1/21,1:30 PM,6 day,3,0.683,2.75E+08,,,,131,118,124500000,123,116,119500000,0.959839357,2,1,0.8,95600000,1,92,1.086956522,looks good under microscope,,,F8,,,,8,
10/3/21,1:15 PM,10 day,1,0.635,1.87E+08,,,,106,106,106000000,84,98,91000000,0.858490566,6,5,0.7,63700000,4,92,4.347826087,looks good under microscope,,,"A9,B10,E1,G8",,,,40,
