M05_10_day_r1_Fitness_Per_Cycle,M05_10_day_r1_Error_Fitness,M05_10_day_r2_Fitness_Per_Cycle,M05_10_day_r2_Error_Fitness,M05_10_day_r3_Fitness_Per_Cycle,M05_10_day_r3_Error_Fitness,M05_2_day_r1_Fitness_Per_Cycle,M05_2_day_r1_Error_Fitness,M05_2_day_r2_Fitness_Per_Cycle,M05_2_day_r2_Error_Fitness,M05_2_day_r3_Fitness_Per_Cycle,M05_2_day_r3_Error_Fitness,M05_4_day_r1_Fitness_Per_Cycle,M05_4_day_r1_Error_Fitness,M05_4_day_r2_Fitness_Per_Cycle,M05_4_day_r2_Error_Fitness,M05_4_day_r3_Fitness_Per_Cycle,M05_4_day_r3_Error_Fitness,M05_6_day_r1_Fitness_Per_Cycle,M05_6_day_r1_Error_Fitness,M05_6_day_r2_Fitness_Per_Cycle,M05_6_day_r2_Error_Fitness,M05_6_day_r3_Fitness_Per_Cycle,M05_6_day_r3_Error_Fitness,M05_8_day_r1_Fitness_Per_Cycle,M05_8_day_r1_Error_Fitness,M05_8_day_r2_Fitness_Per_Cycle,M05_8_day_r2_Error_Fitness,M05_8_day_r3_Fitness_Per_Cycle,M05_8_day_r3_Error_Fitness,M3_1_day_r1_Fitness_Per_Cycle,M3_1_day_r1_Error_Fitness,M3_1_day_r2_Fitness_Per_Cycle,M3_1_day_r2_Error_Fitness,M3_1_day_r3_Fitness_Per_Cycle,M3_1_day_r3_Error_Fitness,M3_2_day_r1_Fitness_Per_Cycle,M3_2_day_r1_Error_Fitness,M3_2_day_r2_Fitness_Per_Cycle,M3_2_day_r2_Error_Fitness,M3_2_day_r3_Fitness_Per_Cycle,M3_2_day_r3_Error_Fitness,M3_3_day_r1_Fitness_Per_Cycle,M3_3_day_r1_Error_Fitness,M3_3_day_r2_Fitness_Per_Cycle,M3_3_day_r2_Error_Fitness,M3_3_day_r3_Fitness_Per_Cycle,M3_3_day_r3_Error_Fitness,M3_5_day_r1_Fitness_Per_Cycle,M3_5_day_r1_Error_Fitness,M3_5_day_r2_Fitness_Per_Cycle,M3_5_day_r2_Error_Fitness,M3_5_day_r3_Fitness_Per_Cycle,M3_5_day_r3_Error_Fitness
1.020952278,0.016851335,-0.600484109,0.041526752,-0.491023453,0.025538562,0.468400208,0.002147002,0.388563547,0.001986229,0.421042657,0.002826429,3.217419554,0.008471157,2.991156284,0.00949256,2.611990463,0.002888204,2.445358526,0.046723261,0.421549339,0.036573261,0.819974061,0.032973114,-0.308751769,0.05645767,-8,4.266857396,-1.957907862,0.058227991,0.08109644,0.004629399,-0.110720805,0.005426495,0.097346327,0.003694998,0.14995108,0.002821303,-0.003582982,0.005585706,-0.021614327,0.007022529,0.840594999,0.0032849,0.826409979,0.004272233,0.847565116,0.0042405,2.334976598,0.004992028,2.684001848,0.001349184,2.805595111,0.001661387
-1.865507171,0.142335331,-1.831811214,0.143856975,-1.059716082,0.061342819,0.298066243,0.005356183,0.297552572,0.00458865,0.286045929,0.006208124,2.915163032,0.018402425,2.534413141,0.021371981,2.418673285,0.011626046,0.9338289,0.111947045,-0.473114461,0.097779997,-0.184040202,0.079742299,-1.560151923,0.166424917,-8,5.020808614,-3.36369973,0.214694399,-0.038851636,0.010878926,-0.192996717,0.012243903,-0.034210222,0.008451286,0.017174162,0.006420945,-0.093120508,0.012857987,-0.164018856,0.016249621,0.625049657,0.008509266,0.592788785,0.011232275,0.600428042,0.007734643,1.581357229,0.016088507,1.332653236,0.007131882,1.415978953,0.008405961
2.025144703,0.039363946,1.271537614,0.051637777,1.059262482,0.037718683,0.35480834,0.0262953,0.368874894,0.027728017,0.350783953,0.031608335,3.85630668,0.019368709,3.581132801,0.027819377,2.910329028,0.010399007,2.991689273,0.064126845,2.278793459,0.054070343,2.532058906,0.057066167,2.102958932,0.065103716,2.493506768,0.046518795,2.108959837,0.027025134,-1.114237306,0.321438447,-1.059356645,0.345111072,-0.861073951,0.201566829,-1.0811499,0.180232819,-1.037617406,0.223743046,-0.979215915,0.263889435,-0.676644206,0.251728031,-0.734204134,0.313429169,-0.719807173,0.227971653,-1.241362555,0.276226322,-1.231791857,0.078539228,-1.207875375,0.097766397
-8,48.16940055,-8,44.34157573,-8,24.71114972,0.273275268,0.115490528,0.337091523,0.09372329,0.231731508,0.153040126,0.816631435,0.494519307,0.213153928,0.312745632,0.234112979,0.180364847,-8,68.10713718,-4.005998792,6.44456092,-3.851952958,5.268337525,-8,38.60778304,-8,54.47235826,-8,25.28831538,-8,77.95808064,-0.29705928,0.869602399,-3.570896982,9.447518564,-2.35068606,2.950188284,-2.521979004,4.413400227,-1.391855337,2.529472207,-2.4810026,5.752323395,-2.488886024,6.429421403,-1.489723967,2.34155048,-8,34.33890292,-8,19.73913334,-8,13.77088748
0.247089365,2.993182436,-8,111.1090478,-8,80.97670809,0.286229591,0.316220019,0.185107565,0.3021472,0.166572314,0.408124008,2.047439558,1.819601194,1.997768459,0.949103504,1.536324561,0.798070823,1.766396037,4.331489004,-0.20594739,6.466482953,-0.177733552,5.091133634,-8,184.8551078,-8,306.5292992,-8,81.21970233,-0.217861278,0.742024476,-0.369534684,0.896997273,-0.191641052,0.549371539,-0.157366987,0.427984764,-0.188101745,0.760473531,-0.602238546,1.951985402,0.465776025,0.532118865,0.348552783,0.779228521,0.649011801,0.413953134,2.140006491,0.723076854,2.718999892,0.203409115,2.859485884,0.260614042
0.59850904,0.042603512,-5.744547627,1.082540446,-2.400418446,0.128760573,0.258768756,0.005448426,0.29065264,0.004683973,0.267617418,0.006362036,2.671017125,0.022455526,2.32325372,0.022082953,2.273906827,0.018171265,0.281767916,0.162834587,-1.01578921,0.130587213,-0.875167156,0.114852617,-2.445825997,0.263738682,-8,5.428650538,-2.282451304,0.126639532,-0.099676564,0.01211774,-0.237165001,0.013635598,-0.086058779,0.009261031,-0.057578679,0.024406738,-0.137490913,0.01386017,-0.196314964,0.017170316,0.574746714,0.009458744,0.554028188,0.012185535,0.538890803,0.008421494,1.50632565,0.017353282,1.192645868,0.008339793,1.254368236,0.00882837
-1.079743079,1.859745326,-8,36.97282454,-1.904360679,1.52140282,0.266636071,0.095667358,0.258761456,0.098308431,0.230482043,0.131424656,0.752682823,0.439639825,0.038691479,0.305763031,-0.153486166,0.161964523,-1.363521544,2.643006145,-4.22525651,6.492839451,-0.860631672,1.168973132,-1.035964257,1.853941024,-0.879079666,2.176473813,-2.141677715,1.756984373,-8,82.70121365,-7.020109509,731.673633,-1.712372311,1.994018798,-1.405417262,1.084443596,-1.374344568,1.861217009,-8,82.65415976,-8,86.83758019,-8,73.65284905,-3.815886364,9.898403992,-8,34.85585521,-8,9.579344685,-8,11.22295128
-8,34.48060544,-8,29.60282595,-0.90863109,0.917723649,0.215056507,0.110608607,0.203259482,0.095164877,0.114191887,0.135863826,1.064399437,0.414351493,0.763118438,0.242218502,-0.085222342,0.174559047,0.148959511,3.306350424,-1.601922795,1.62130899,-4.586978038,7.49655644,-1.795492234,2.142697146,-8,74.59763753,-1.043490228,0.795300987,-8,61.59180891,-1.047018534,1.343205344,-8,56.57519157,-2.337495195,2.833751069,-1.304257104,1.630873392,-1.492309712,3.163036273,-3.709748945,8.336873077,-8,51.64123447,-8,64.9006839,-8,30.24517137,-8,12.35184015,-8,20.04683929
0.271017183,0.928095265,-2.307162558,3.090881574,-4.436001586,5.752402122,0.225999322,0.099619819,0.260761871,0.088865944,0.176178005,0.129448542,1.116923623,0.364256989,0.390494948,0.255891417,0.226505058,0.170478562,0.155060486,1.350469595,-0.796074275,1.111249781,-3.714016074,4.337039042,-8,38.59094298,-8,49.11082067,0.549943611,0.406832925,-8,60.35482323,-7.679977539,1443.118003,-8,58.14958765,-3.61896767,4.374401347,-2.538220154,4.104815093,-2.449244178,4.743708295,-8,60.55537767,-8,66.20809457,-8,64.0487319,-8,37.23888961,-8,14.89920218,-8,10.2406226
-8,56.95453443,-8,34.07298481,-8,23.70743989,0.392522846,0.101547654,0.231141779,0.083422952,0.253992283,0.119004458,0.555218284,0.497978696,0.140273552,0.287608465,0.401987214,0.156544015,-2.570210465,6.20052679,-4.460024836,6.491884727,-3.377959636,4.300349074,-1.748309949,2.468265501,-8,59.31815153,-8,21.21288392,-8,56.08973135,-7.485491874,1355.803857,-8,106.2902519,-2.926397141,5.248413924,-1.99495,2.726831573,-1.777063104,2.76428493,-3.096271676,7.307179774,-8,64.73170949,-8,62.22281234,-8,28.56268043,-8,10.64833344,-8,12.18941977
