growth curve,elapsed time,density from plates,coulter counter,OD600
1,0,361000,,
1,15.92,3900000,,
1,18,9000000,,
1,19.83,5650000,,
1,21.08,,,0.21
1,21.88,12700000,,0.25
1,23.92,12000000,,0.25
1,28.13,33500000,29700000,0.51
1,39.58,146000000,112000000,3.1
1,42.66,121000000,139000000,4.22
1,45.08,155000000,145000000,4.64
1,47.5,148000000,152000000,5.19
1,51.42,161000000,178000000,5.47
1,65.84,168000000,235000000,6.96
1,115.5,102000000,275000000,7.25
1,141.08,131000000,349000000,8.14
2,0,560000,,
2,1.92,500000,,
2,3.75,585000,,
2,5.17,,,0.05
2,5.75,785000,,0.05
2,7.75,1400000,,0.06
2,12.03,3050000,,0.07
2,23.42,21600000,20500000,0.39
2,26.55,43100000,31000000,0.68
2,28.97,57000000,58600000,1.1
2,31.42,77800000,83600000,1.75
2,35.42,116000000,105000000,2.87
2,49.58,164000000,159000000,5.37
2,99.33,140000000,259000000,7.32
2,124.83,142000000,253000000,8.08
