FOS10_ROS10 Corrected,FOS10_ROS11 Corrected,FOS10_ROS12 Corrected,FOS10_ROS13 Corrected,FOS10_ROS1 Corrected,FOS10_ROS2 Corrected,FOS10_ROS3 Corrected,FOS10_ROS4 Corrected,FOS10_ROS5 Corrected,FOS10_ROS6 Corrected,FOS10_ROS7 Corrected,FOS10_ROS8 Corrected,FOS10_ROS9 Corrected,FOS1_ROS10 Corrected,FOS1_ROS11 Corrected,FOS1_ROS12 Corrected,FOS1_ROS13 Corrected,FOS1_ROS1 Corrected,FOS1_ROS2 Corrected,FOS1_ROS3 Corrected,FOS1_ROS4 Corrected,FOS1_ROS5 Corrected,FOS1_ROS6 Corrected,FOS1_ROS7 Corrected,FOS1_ROS8 Corrected,FOS1_ROS9 Corrected,FOS2_ROS10 Corrected,FOS2_ROS11 Corrected,FOS2_ROS12 Corrected,FOS2_ROS13 Corrected,FOS2_ROS1 Corrected,FOS2_ROS2 Corrected,FOS2_ROS3 Corrected,FOS2_ROS4 Corrected,FOS2_ROS5 Corrected,FOS2_ROS6 Corrected,FOS2_ROS7 Corrected,FOS2_ROS8 Corrected,FOS2_ROS9 Corrected,FOS3_ROS10 Corrected,FOS3_ROS11 Corrected,FOS3_ROS12 Corrected,FOS3_ROS13 Corrected,FOS3_ROS1 Corrected,FOS3_ROS2 Corrected,FOS3_ROS3 Corrected,FOS3_ROS4 Corrected,FOS3_ROS5 Corrected,FOS3_ROS6 Corrected,FOS3_ROS7 Corrected,FOS3_ROS8 Corrected,FOS3_ROS9 Corrected,FOS4_ROS10 Corrected,FOS4_ROS11 Corrected,FOS4_ROS12 Corrected,FOS4_ROS13 Corrected,FOS4_ROS1 Corrected,FOS4_ROS2 Corrected,FOS4_ROS3 Corrected,FOS4_ROS4 Corrected,FOS4_ROS5 Corrected,FOS4_ROS6 Corrected,FOS4_ROS7 Corrected,FOS4_ROS8 Corrected,FOS4_ROS9 Corrected,FOS5_ROS10 Corrected,FOS5_ROS11 Corrected,FOS5_ROS12 Corrected,FOS5_ROS13 Corrected,FOS5_ROS1 Corrected,FOS5_ROS2 Corrected,FOS5_ROS3 Corrected,FOS5_ROS4 Corrected,FOS5_ROS5 Corrected,FOS5_ROS6 Corrected,FOS5_ROS7 Corrected,FOS5_ROS8 Corrected,FOS5_ROS9 Corrected,FOS6_ROS10 Corrected,FOS6_ROS11 Corrected,FOS6_ROS12 Corrected,FOS6_ROS13 Corrected,FOS6_ROS1 Corrected,FOS6_ROS2 Corrected,FOS6_ROS3 Corrected,FOS6_ROS4 Corrected,FOS6_ROS5 Corrected,FOS6_ROS6 Corrected,FOS6_ROS7 Corrected,FOS6_ROS8 Corrected,FOS6_ROS9 Corrected,FOS7_ROS10 Corrected,FOS7_ROS11 Corrected,FOS7_ROS12 Corrected,FOS7_ROS13 Corrected,FOS7_ROS1 Corrected,FOS7_ROS2 Corrected,FOS7_ROS3 Corrected,FOS7_ROS4 Corrected,FOS7_ROS5 Corrected,FOS7_ROS6 Corrected,FOS7_ROS7 Corrected,FOS7_ROS8 Corrected,FOS7_ROS9 Corrected,FOS8_ROS10 Corrected,FOS8_ROS11 Corrected,FOS8_ROS12 Corrected,FOS8_ROS13 Corrected,FOS8_ROS1 Corrected,FOS8_ROS2 Corrected,FOS8_ROS3 Corrected,FOS8_ROS4 Corrected,FOS8_ROS5 Corrected,FOS8_ROS6 Corrected,FOS8_ROS7 Corrected,FOS8_ROS8 Corrected,FOS8_ROS9 Corrected,FOS9_ROS10 Corrected,FOS9_ROS11 Corrected,FOS9_ROS12 Corrected,FOS9_ROS13 Corrected,FOS9_ROS1 Corrected,FOS9_ROS2 Corrected,FOS9_ROS3 Corrected,FOS9_ROS4 Corrected,FOS9_ROS5 Corrected,FOS9_ROS6 Corrected,FOS9_ROS7 Corrected,FOS9_ROS8 Corrected,FOS9_ROS9 Corrected
0,83055,33703,0,469498,233382,0,0,98,19605,518251,205167,0,0,325961,156856,0,0,0,0,0,360,125217,7283,0,0,174458,0,0,0,0,0,333041,32987,204,0,0,0,50033,315161,0,233420,297857,324775,445154,333863,211821,663,96734,308165,696596,0,318905,416251,269872,216350,346998,428263,326032,195797,873,172653,263121,263323,445205,429270,383753,590087,257937,155965,137953,284110,83772,581,123026,16967,100071,579655,0,563358,485502,296899,631450,537333,415889,275918,1916,481760,286875,291256,0,0,0,2297,1760,1157900,518,0,0,27,6108,674919,706094,685107,732995,692105,958000,996340,545049,333624,640305,852812,2530,561151,1223231,1326771,627702,426863,43,0,143664,686596,951934,954220,974673,2357,492430,199622,361860,603691
0,74882,6042,0,106111,41240,0,0,23,6306,127127,38162,0,0,85075,2221,0,0,0,0,0,136,37657,536,0,0,53917,0,0,0,0,0,97149,2767,61,0,0,0,8689,70980,0,41273,83317,97543,118733,80230,45310,122,18603,50435,178222,0,49639,103048,59512,43801,84813,91765,61041,32382,227,47299,67662,59257,88139,122284,95190,116177,45891,30823,23873,82535,21460,161,27777,3496,16325,200768,0,82269,49356,87829,74547,151715,102078,53817,330,72754,29482,82293,0,0,54,469,0,243761,0,0,0,7,1685,127412,45107,6646,193255,151557,183879,159113,2221,822,178014,194068,538,111573,211511,181062,142045,94657,0,0,52081,201126,254670,232448,203253,443,78200,62920,130186,157880
0,23592,16893,0,43682,36485,190,0,14,851,72410,36093,258,0,20203,28271,0,25626,0,0,0,38,11139,45303,0,0,15734,8,0,0,0,0,28468,19978,22,21,0,0,22315,219,0,0,1271,3852,2212,499,158,0,15,0,2795,0,0,2790,1063,261,401,312,118,10,7,1093,465,168,108,3325,855,256,17,0,0,2315,366,5,220,0,0,8264,0,27,2,9679,0,4216,930,121,1,6,0,2477,0,0,26,0,0,1298,0,0,0,0,246,815,41,0,6056,5460,7419,6362,0,0,7200,8623,22,4655,9397,9638,4878,78594,2401,17,7139,7685,10145,9910,9099,27,4067,9701,17262,76415
0,772,0,0,270,19,0,0,0,132,371,53,0,0,162,0,0,0,0,0,0,2,135,0,0,0,166,0,0,0,0,0,233,0,0,1,0,0,0,5,0,7,12,335,21,0,0,0,0,0,17,0,0,56,6,0,1,0,0,0,0,21,6,0,0,57,4,0,0,0,0,37,8,0,1,0,0,752,0,1,0,250,0,75,4,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,564,425,527,504,0,0,393,433,1,141,667,305,389,116,0,0,1120,347,419,415,421,0,61,2963,2325,444
0,7,4,0,18,11,0,0,0,3,32,5,0,0,14,5,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,0,27,0,0,0,1,0,0,14,1,9,15,18,20,20,15,0,5,9,23,0,17,16,18,11,25,22,12,12,0,12,12,8,25,31,19,37,5,11,8,10,1,0,3,0,5,29,0,37,23,7,34,38,19,10,0,29,5,12,0,0,0,0,0,55,1,0,0,0,0,32,27,36,43,38,42,38,19,14,35,40,0,29,54,69,30,24,1,1,10,40,71,44,53,0,24,7,29,20
0,68712,2884,0,84873,30642,0,0,26,6682,103349,27638,0,0,78842,24629,0,0,0,0,0,105,36629,1540,0,0,46981,0,0,0,0,0,86684,49,64,0,0,0,1987,58096,0,31361,79837,100423,116534,73360,39798,135,15586,38397,165339,0,38273,100138,56336,39602,78450,79447,50397,25141,246,49096,58514,50352,69569,115908,82956,102625,37105,26337,19360,80214,20067,149,27734,3114,12972,198562,0,66336,35052,86499,57056,145090,93241,46283,311,63808,23266,78753,0,0,97,403,0,217657,0,0,0,10,1695,112971,34907,4334,188482,144073,177025,152956,219,0,190667,205533,569,122543,204474,163689,140383,70213,0,0,52000,201716,258837,218265,190250,422,77355,67635,131936,119636
0,1343,11,0,310,17,0,0,0,163,344,32,0,0,215,13,0,12,0,0,0,1,160,8,0,0,200,0,0,0,0,0,341,0,0,0,0,0,14,0,0,0,36,383,17,0,0,0,2,0,69,0,0,53,21,2,13,2,0,0,0,43,23,3,1,35,0,0,0,0,0,54,0,0,0,2,0,886,0,0,0,242,0,105,0,1,0,0,0,52,0,0,0,0,0,0,0,0,0,0,5,0,0,0,467,445,344,361,0,0,566,576,3,356,968,367,447,226,3,0,1406,651,491,505,600,0,230,3669,3337,547
0,173,7,0,425,39,0,0,0,134,290,34,0,0,325,0,0,0,0,0,0,0,264,39,0,0,198,0,0,0,0,0,539,0,1,0,0,0,39,8,0,6,22,345,47,0,0,0,0,0,173,0,0,66,24,4,0,0,0,0,0,39,3,5,0,143,2,0,0,0,0,40,1,0,5,0,0,906,0,0,0,329,0,212,0,0,0,0,0,38,0,0,0,0,1,0,0,0,0,0,3,0,0,0,431,428,451,429,0,0,560,487,1,242,536,427,596,163,0,0,1066,601,874,576,266,2,209,3212,2568,613
0,1139,41,0,458,16,0,0,0,142,407,46,0,0,223,52,0,0,0,0,0,2,196,148,0,0,174,0,0,0,0,0,325,6,0,0,0,0,1,0,0,0,21,345,50,0,0,0,0,0,65,0,0,76,7,0,0,0,1,1,1,66,3,0,0,101,0,0,0,0,1,69,4,0,0,0,0,776,1,0,0,209,0,114,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,2,0,1,0,773,330,546,455,0,1,652,593,4,443,515,558,403,249,0,0,1383,634,612,591,554,0,119,3200,3191,766
1,820,2,0,331,24,0,0,0,162,561,59,0,0,113,0,0,0,0,1,0,0,194,0,0,0,181,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,1,325,62,0,0,0,0,0,42,0,0,72,15,0,0,0,0,0,0,12,2,0,0,107,2,1,0,0,0,85,10,0,0,6,0,966,0,0,0,372,0,121,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,4,0,0,0,766,427,621,497,0,0,476,599,2,207,753,785,535,124,0,0,1424,641,647,649,577,1,230,3645,3067,448
