FOS10_ROS10,FOS10_ROS11,FOS10_ROS12,FOS10_ROS13,FOS10_ROS1,FOS10_ROS2,FOS10_ROS3,FOS10_ROS4,FOS10_ROS5,FOS10_ROS6,FOS10_ROS7,FOS10_ROS8,FOS10_ROS9,FOS1_ROS10,FOS1_ROS11,FOS1_ROS12,FOS1_ROS13,FOS1_ROS1,FOS1_ROS2,FOS1_ROS3,FOS1_ROS4,FOS1_ROS5,FOS1_ROS6,FOS1_ROS7,FOS1_ROS8,FOS1_ROS9,FOS2_ROS10,FOS2_ROS11,FOS2_ROS12,FOS2_ROS13,FOS2_ROS1,FOS2_ROS2,FOS2_ROS3,FOS2_ROS4,FOS2_ROS5,FOS2_ROS6,FOS2_ROS7,FOS2_ROS8,FOS2_ROS9,FOS3_ROS10,FOS3_ROS11,FOS3_ROS12,FOS3_ROS13,FOS3_ROS1,FOS3_ROS2,FOS3_ROS3,FOS3_ROS4,FOS3_ROS5,FOS3_ROS6,FOS3_ROS7,FOS3_ROS8,FOS3_ROS9,FOS4_ROS10,FOS4_ROS11,FOS4_ROS12,FOS4_ROS13,FOS4_ROS1,FOS4_ROS2,FOS4_ROS3,FOS4_ROS4,FOS4_ROS5,FOS4_ROS6,FOS4_ROS7,FOS4_ROS8,FOS4_ROS9,FOS5_ROS10,FOS5_ROS11,FOS5_ROS12,FOS5_ROS13,FOS5_ROS1,FOS5_ROS2,FOS5_ROS3,FOS5_ROS4,FOS5_ROS5,FOS5_ROS6,FOS5_ROS7,FOS5_ROS8,FOS5_ROS9,FOS6_ROS10,FOS6_ROS11,FOS6_ROS12,FOS6_ROS13,FOS6_ROS1,FOS6_ROS2,FOS6_ROS3,FOS6_ROS4,FOS6_ROS5,FOS6_ROS6,FOS6_ROS7,FOS6_ROS8,FOS6_ROS9,FOS7_ROS10,FOS7_ROS11,FOS7_ROS12,FOS7_ROS13,FOS7_ROS1,FOS7_ROS2,FOS7_ROS3,FOS7_ROS4,FOS7_ROS5,FOS7_ROS6,FOS7_ROS7,FOS7_ROS8,FOS7_ROS9,FOS8_ROS10,FOS8_ROS11,FOS8_ROS12,FOS8_ROS13,FOS8_ROS1,FOS8_ROS2,FOS8_ROS3,FOS8_ROS4,FOS8_ROS5,FOS8_ROS6,FOS8_ROS7,FOS8_ROS8,FOS8_ROS9,FOS9_ROS10,FOS9_ROS11,FOS9_ROS12,FOS9_ROS13,FOS9_ROS1,FOS9_ROS2,FOS9_ROS3,FOS9_ROS4,FOS9_ROS5,FOS9_ROS6,FOS9_ROS7,FOS9_ROS8,FOS9_ROS9
1428,86168,37280,1173,483425,237570,2439,1263,109,21949,522533,210117,2603,1742,329400,160846,2072,6581,1218,1555,1241,372,127724,11972,2248,1320,176664,1833,1719,1208,1968,1914,335983,35256,212,1325,1701,1876,52860,319623,1804,238323,301953,340595,451005,339537,215928,678,99685,313823,703224,2935,324018,421055,275493,221043,365345,434964,332542,200518,890,176053,269622,270932,452033,433654,387873,594907,261961,171693,143699,289692,87820,595,125941,22541,106595,585510,3665,567773,490738,301302,646080,543660,421896,280163,1931,484731,292772,298226,3222,2493,2568,5787,4709,1166521,4774,3412,2013,37,7998,678777,710686,689516,742292,700505,968071,1004856,569455,345923,651772,860746,2558,566567,1234335,1340000,640456,433817,6482,3760,150042,708986,961081,962968,980908,2379,496835,208258,372036,613075
354,75643,6745,240,109082,42219,464,293,26,6791,128032,39180,408,271,85899,3010,179,631,218,312,268,139,38175,1524,323,213,54466,408,267,242,409,442,97903,3264,63,257,292,315,9302,72058,338,42272,84246,100936,120088,81631,46225,125,19224,51649,179616,533,50811,104146,60586,44806,88663,93230,62574,33385,231,47983,68985,60768,89566,123365,96197,117179,46823,34221,25232,83939,22377,164,28399,4713,17722,202100,464,83187,50288,88689,77507,152970,103357,54652,333,73316,30597,83580,450,156,545,969,352,245337,457,274,144,9,1985,128009,45796,7311,195100,153236,185658,160730,7073,3184,180349,195587,543,112580,213569,183468,144417,96387,1221,595,53587,206027,256868,234660,204694,448,79164,64856,132434,160067
149,23777,17110,112,44171,36747,422,47,15,946,72705,36367,584,117,20465,28584,175,26226,339,53,44,39,11276,45695,197,80,15871,100,23,21,36,72,28576,20052,22,66,106,38,22484,321,13,52,1301,4155,2272,554,199,0,39,70,2868,51,79,2853,1126,292,749,376,177,55,7,1119,617,248,234,3430,915,317,50,108,38,2374,409,5,246,127,45,8382,29,80,56,9709,94,4273,982,160,1,29,24,2546,34,17,50,13,11,1430,7,3,5,0,256,873,71,24,6221,5564,7531,6435,53,52,7313,8703,22,4703,9604,9780,5073,78881,2606,254,7317,8283,10427,10161,9268,28,4170,10043,17561,76781
2,774,0,0,276,21,0,0,0,133,376,57,3,0,164,0,1,0,1,1,0,2,136,0,4,0,167,1,0,0,1,0,234,1,0,1,0,2,1,6,0,8,14,341,22,1,0,0,0,0,20,0,0,58,7,2,7,0,0,0,0,22,10,3,0,58,6,0,0,1,0,39,9,0,2,2,2,754,0,2,0,252,2,76,5,0,0,0,3,77,0,0,0,0,1,0,0,0,0,0,1,0,1,0,568,429,531,509,0,3,398,436,1,143,675,312,395,123,6,3,1128,362,428,423,427,0,64,2974,2336,454
0,7,4,0,19,11,0,0,0,3,32,5,0,0,14,5,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,0,27,0,0,0,1,0,0,14,1,9,15,19,20,20,15,0,5,9,23,0,17,16,18,11,26,22,12,12,0,12,12,8,25,31,19,37,5,12,8,10,1,0,3,0,5,29,0,37,23,7,35,38,19,10,0,29,5,12,0,0,0,0,0,55,1,0,0,0,0,32,27,36,43,38,42,38,20,15,36,40,0,29,55,70,31,24,1,1,10,41,72,44,53,0,24,7,30,20
350,69383,3507,199,87562,31521,411,244,28,7142,104138,28530,337,325,79588,25350,398,1439,238,353,238,108,37128,2427,383,246,47462,354,291,219,347,381,87386,513,66,278,270,342,2522,59068,301,32285,80702,103535,117797,74669,40655,138,16184,39500,166613,483,39309,101127,57311,40523,81958,80790,51810,26067,249,49749,59695,51708,70830,116887,83881,103557,37977,29460,20632,81532,20929,152,28336,4225,14255,199772,499,67161,35895,87284,59749,146235,94415,47050,314,64340,24261,79907,446,162,536,852,315,219087,384,270,141,11,1978,113500,35521,4919,190239,145683,178757,154533,4779,2052,192940,207012,574,123542,206441,166004,142657,71807,1034,569,53426,206250,260920,220362,191618,427,78292,69430,134031,121660
2,1346,13,1,318,20,2,0,0,165,350,37,2,0,218,15,1,20,0,0,0,1,162,14,2,0,201,0,1,0,0,0,343,0,0,0,0,1,16,0,0,0,38,390,18,1,1,0,3,1,73,1,0,55,22,4,20,3,0,1,0,44,28,7,3,37,2,0,0,1,0,56,1,0,1,7,0,889,0,0,0,244,0,106,0,2,0,0,0,55,0,0,1,0,1,0,0,1,0,0,5,2,1,0,471,450,348,366,2,2,572,580,3,359,977,376,454,235,12,4,1416,670,503,516,608,0,235,3684,3352,561
0,175,8,0,431,41,1,0,0,135,294,38,1,1,327,1,0,6,0,0,0,0,265,44,2,3,199,1,0,1,0,2,541,1,1,0,1,1,41,9,0,7,24,351,49,0,1,0,1,2,177,3,0,67,25,6,1,1,0,0,0,40,7,9,2,145,4,0,0,0,2,42,2,0,6,5,1,909,0,0,0,331,1,213,0,0,0,1,1,41,1,0,0,0,2,0,0,0,0,0,3,0,0,0,435,432,455,434,1,2,566,490,1,244,544,435,603,171,3,4,1075,617,885,586,272,2,213,3225,2581,626
3,1142,43,3,466,19,1,0,0,144,412,52,1,0,226,55,2,0,0,2,2,2,198,154,0,1,175,0,1,1,1,0,327,7,0,1,1,3,3,0,1,0,23,352,51,1,1,0,1,0,69,0,0,78,8,0,5,1,3,2,1,67,8,2,0,103,1,0,0,1,3,71,6,0,0,5,0,779,2,0,1,211,1,115,0,0,0,1,2,56,0,0,0,0,0,0,0,0,0,0,2,0,3,0,778,335,551,461,2,7,658,597,4,446,524,567,410,258,5,4,1393,653,623,602,561,0,124,3214,3206,779
3,822,4,1,339,27,0,0,0,163,567,64,1,1,116,0,0,6,0,4,2,0,195,3,0,2,182,1,0,1,0,0,407,0,0,1,3,0,2,0,0,0,3,332,63,0,1,0,0,1,46,2,0,74,16,0,6,1,1,0,0,13,7,3,1,109,4,2,1,0,1,87,12,0,1,11,2,969,0,1,0,374,1,122,2,0,0,0,4,47,2,0,0,0,0,0,0,1,0,0,4,1,1,0,771,432,626,503,2,2,482,603,2,210,763,795,543,133,4,1,1434,659,659,660,584,1,235,3660,3082,462
