FOS10_ROS10 Corrected,FOS10_ROS11 Corrected,FOS10_ROS12 Corrected,FOS10_ROS13 Corrected,FOS10_ROS1 Corrected,FOS10_ROS9 Corrected,FOS1_ROS10 Corrected,FOS1_ROS11 Corrected,FOS1_ROS12 Corrected,FOS1_ROS13 Corrected,FOS1_ROS1 Corrected,FOS1_ROS2 Corrected,FOS1_ROS3 Corrected,FOS1_ROS4 Corrected,FOS1_ROS5 Corrected,FOS1_ROS6 Corrected,FOS1_ROS7 Corrected,FOS1_ROS8 Corrected,FOS1_ROS9 Corrected,FOS2_ROS10 Corrected,FOS2_ROS11 Corrected,FOS2_ROS12 Corrected,FOS2_ROS13 Corrected,FOS2_ROS1 Corrected,FOS2_ROS2 Corrected,FOS2_ROS3 Corrected,FOS2_ROS4 Corrected,FOS2_ROS5 Corrected,FOS2_ROS6 Corrected,FOS2_ROS7 Corrected,FOS2_ROS8 Corrected,FOS2_ROS9 Corrected,FOS3_ROS10 Corrected,FOS3_ROS11 Corrected,FOS3_ROS12 Corrected,FOS3_ROS13 Corrected,FOS3_ROS1 Corrected,FOS3_ROS2 Corrected,FOS3_ROS3 Corrected,FOS3_ROS4 Corrected,FOS3_ROS5 Corrected,FOS3_ROS6 Corrected,FOS3_ROS7 Corrected,FOS3_ROS8 Corrected,FOS3_ROS9 Corrected,FOS4_ROS10 Corrected,FOS4_ROS11 Corrected,FOS4_ROS12 Corrected,FOS4_ROS13 Corrected,FOS4_ROS1 Corrected,FOS4_ROS2 Corrected,FOS4_ROS3 Corrected,FOS4_ROS4 Corrected,FOS4_ROS5 Corrected,FOS4_ROS6 Corrected,FOS4_ROS7 Corrected,FOS4_ROS8 Corrected,FOS4_ROS9 Corrected,FOS5_ROS10 Corrected,FOS5_ROS11 Corrected,FOS5_ROS12 Corrected,FOS5_ROS13 Corrected,FOS5_ROS1 Corrected,FOS5_ROS2 Corrected,FOS5_ROS3 Corrected,FOS5_ROS4 Corrected,FOS5_ROS5 Corrected,FOS5_ROS6 Corrected,FOS5_ROS7 Corrected,FOS5_ROS8 Corrected,FOS5_ROS9 Corrected,FOS6_ROS10 Corrected,FOS6_ROS11 Corrected,FOS6_ROS12 Corrected,FOS6_ROS13 Corrected,FOS6_ROS1 Corrected,FOS6_ROS2 Corrected,FOS6_ROS3 Corrected,FOS6_ROS4 Corrected,FOS6_ROS5 Corrected,FOS6_ROS6 Corrected,FOS6_ROS7 Corrected,FOS6_ROS8 Corrected,FOS6_ROS9 Corrected,FOS7_ROS10 Corrected,FOS7_ROS13 Corrected,FOS7_ROS1 Corrected,FOS7_ROS2 Corrected,FOS7_ROS3 Corrected,FOS7_ROS8 Corrected,FOS8_ROS10 Corrected,FOS8_ROS1 Corrected,FOS8_ROS2 Corrected,FOS8_ROS3 Corrected,FOS8_ROS6 Corrected,FOS8_ROS7 Corrected,FOS8_ROS8 Corrected,FOS9_ROS10 Corrected,FOS9_ROS11 Corrected,FOS9_ROS13 Corrected,FOS9_ROS1 Corrected,FOS9_ROS3 Corrected,FOS9_ROS4 Corrected,FOS9_ROS6 Corrected,FOS9_ROS7 Corrected,FOS9_ROS8 Corrected,FOS9_ROS9 Corrected
0,0,0,0,0,0,164733,23454,0,0,0,0,162080,30886,140,147,27,0,0,0,0,0,33,0,225822,16777,621,55,65,268,407,89965,322223,695495,446033,10659,233363,404877,329618,209658,322,991,226516,50495,418172,332,0,0,44936,553338,426281,457631,446612,443,1106,2570,391295,186025,0,0,0,0,0,0,0,0,0,1,0,71,0,0,18,14,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
0,0,0,0,0,0,74345,3652,0,0,0,0,56686,4382,40,43,0,0,14,0,0,0,0,48,91364,1959,94,12,58,174,84,64977,18777,7193,2854,3007,46720,92953,59579,18688,53,109,2900,333,79413,46,5,0,8188,113190,30006,5809,79396,18,206,345,92869,35175,0,0,0,0,0,0,0,0,0,0,0,27,0,0,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,12837,7193,27,0,0,3,8938,12874,5,49,62,0,0,58,0,0,15,0,32750,31321,214,26,31,150,33,38274,49,10,0,390,88,826,148,27,0,0,5,0,548,274,83,12,15480,644,57,27,4156,0,42,2117,40679,34903,0,0,0,0,71,0,0,1,0,0,8,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,630,1,0,0,0,0,444,1,0,0,0,0,1,0,0,1,0,0,526,0,1,1,0,1,1,538,0,0,0,9,23,12,1,0,0,0,0,0,0,0,0,0,2,0,1,0,341,0,0,0,269,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,8,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,7,11,36,27,0,8,12,16,15,0,0,18,2,24,0,0,0,2,22,18,21,21,0,0,1,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,70959,1845,0,0,0,0,55190,2463,36,54,0,0,16,0,0,0,0,57,88489,782,75,20,43,175,63,55492,15320,4685,1520,3041,40328,94076,60471,15496,68,98,2253,190,77590,32,0,0,4037,104101,24150,3559,76098,15,176,259,79551,26963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,654,17,0,0,0,0,551,1,1,0,0,0,1,0,0,0,0,0,414,16,0,0,1,0,1,542,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,39,0,2,0,375,0,2,0,258,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,639,0,0,0,0,0,635,16,0,0,0,1,1,0,0,0,0,0,676,12,0,0,0,2,1,281,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,282,1,2,0,451,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,823,2,0,0,0,0,601,34,1,0,0,0,1,0,0,0,0,0,515,0,0,0,1,6,0,667,0,0,0,16,0,0,0,0,0,0,0,1,0,1,2,0,3,0,0,0,212,0,0,0,350,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,589,1,0,0,0,0,695,1,0,0,0,0,1,0,0,0,0,0,481,9,0,0,1,1,0,452,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,249,0,2,0,307,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
