FOS10_ROS10,FOS10_ROS11,FOS10_ROS12,FOS10_ROS13,FOS10_ROS1,FOS10_ROS9,FOS1_ROS10,FOS1_ROS11,FOS1_ROS12,FOS1_ROS13,FOS1_ROS1,FOS1_ROS2,FOS1_ROS3,FOS1_ROS4,FOS1_ROS5,FOS1_ROS6,FOS1_ROS7,FOS1_ROS8,FOS1_ROS9,FOS2_ROS10,FOS2_ROS11,FOS2_ROS12,FOS2_ROS13,FOS2_ROS1,FOS2_ROS2,FOS2_ROS3,FOS2_ROS4,FOS2_ROS5,FOS2_ROS6,FOS2_ROS7,FOS2_ROS8,FOS2_ROS9,FOS3_ROS10,FOS3_ROS11,FOS3_ROS12,FOS3_ROS13,FOS3_ROS1,FOS3_ROS2,FOS3_ROS3,FOS3_ROS4,FOS3_ROS5,FOS3_ROS6,FOS3_ROS7,FOS3_ROS8,FOS3_ROS9,FOS4_ROS10,FOS4_ROS11,FOS4_ROS12,FOS4_ROS13,FOS4_ROS1,FOS4_ROS2,FOS4_ROS3,FOS4_ROS4,FOS4_ROS5,FOS4_ROS6,FOS4_ROS7,FOS4_ROS8,FOS4_ROS9,FOS5_ROS10,FOS5_ROS11,FOS5_ROS12,FOS5_ROS13,FOS5_ROS1,FOS5_ROS2,FOS5_ROS3,FOS5_ROS4,FOS5_ROS5,FOS5_ROS6,FOS5_ROS7,FOS5_ROS8,FOS5_ROS9,FOS6_ROS10,FOS6_ROS11,FOS6_ROS12,FOS6_ROS13,FOS6_ROS1,FOS6_ROS2,FOS6_ROS3,FOS6_ROS4,FOS6_ROS5,FOS6_ROS6,FOS6_ROS7,FOS6_ROS8,FOS6_ROS9,FOS7_ROS10,FOS7_ROS13,FOS7_ROS1,FOS7_ROS2,FOS7_ROS3,FOS7_ROS8,FOS8_ROS10,FOS8_ROS1,FOS8_ROS2,FOS8_ROS3,FOS8_ROS6,FOS8_ROS7,FOS8_ROS8,FOS9_ROS10,FOS9_ROS11,FOS9_ROS13,FOS9_ROS1,FOS9_ROS3,FOS9_ROS4,FOS9_ROS6,FOS9_ROS7,FOS9_ROS8,FOS9_ROS9
0,0,0,0,0,0,164980,23766,146,12,112,167,162507,31189,140,148,187,114,268,208,93,60,77,785,226224,17161,893,55,66,410,612,90248,323088,696323,446914,10945,235191,405981,330798,210485,323,994,227302,51324,419091,1088,527,427,45163,555255,427340,458727,447382,444,1109,3210,392013,186866,111,195,111,14,343,170,181,124,0,2,75,223,133,0,18,14,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
0,0,0,0,0,0,74405,3677,27,2,27,39,56761,4440,40,43,20,18,103,15,4,5,13,172,91463,2034,152,12,58,208,144,65063,18883,7249,2923,3038,46915,93111,59709,18785,53,109,2970,437,79553,168,67,42,8223,113422,30193,5959,79509,18,206,422,92989,35340,12,0,1,2,60,54,23,21,0,0,1,59,24,0,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,12850,7202,36,4,3,23,8962,12887,5,49,71,15,16,82,3,4,28,5,32780,31357,236,26,31,172,65,38316,55,14,0,397,105,841,166,35,0,0,7,13,581,300,102,32,15496,686,94,71,4181,0,42,2138,40720,34961,5,0,0,3,84,7,4,7,0,0,9,57,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,630,1,0,0,0,0,444,1,0,0,0,0,1,0,0,1,0,0,526,0,1,1,0,1,1,538,0,0,0,9,23,12,1,0,0,0,0,0,0,0,0,0,2,0,1,0,341,0,0,0,269,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,8,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,7,11,36,27,0,8,12,16,15,0,0,18,2,24,0,0,0,2,22,18,21,21,0,0,1,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,71015,1867,15,3,18,38,55262,2517,36,54,21,14,96,16,5,5,10,167,88583,853,128,20,43,206,116,55570,15419,4736,1585,3069,40505,94227,60595,15587,68,98,2319,285,77718,141,37,38,4066,104306,24324,3697,76200,15,176,326,79655,27109,14,1,1,2,59,27,19,16,0,0,0,23,22,0,4,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,654,17,0,0,1,0,551,1,1,0,0,0,1,0,0,0,0,0,414,16,0,0,1,0,1,542,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,39,0,2,0,375,0,2,0,258,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,639,0,0,0,0,0,636,16,0,0,0,1,1,0,0,0,0,0,676,12,0,0,0,2,1,281,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,282,1,2,0,451,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,824,2,0,0,0,0,602,34,1,0,0,0,2,0,0,0,0,0,515,0,0,0,1,6,0,667,0,0,0,16,0,0,0,0,0,0,0,1,0,2,2,0,3,0,0,0,212,0,0,0,350,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,589,1,0,0,0,0,696,1,0,0,0,0,1,0,0,0,0,0,481,9,0,0,1,1,0,452,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,249,0,2,0,307,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
